A00,COLERA
X64,ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR Y EXPOSICION A OTRAS DROGAS MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS Y LOS NO ESPECIFICADOS
X65,ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR Y EXPOSICION AL ALCOHOL
X66,ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR Y EXPOSICION A DISOLVENTES ORGÁNICOS E HIDROCARBUROS HALOGENADOS Y SUS VAPORES
X67,ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR Y EXPOSICION A OTROS GASES Y VAPORES
X68,ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR Y EXPOSICION A PLAGUICIDAS
X69,ENVENENAMIENTO AUTOINFLIGIDO INTENCIONALMENTE POR Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS
X70,LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHORCAMIENTO ESTRANGULAMIENTO O SOFOCACION
X71,LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHOGAMIENTO Y SUMERSION
X72,LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA
X73,LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE ESCOPETA Y ARMA LARGA
X74,LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO Y LAS NO ESPECIFICADAS
X75,LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO
X76,LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO FUEGO Y LLAMAS
X77,LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA VAPORES Y OBJETOS CALIENTES
X78,LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE
X79,LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO
X80,LESION AUTOINFLIGIDA INTENCIONALMENTE AL SALTAR DESDE UN LUGAR ELEVADO
X81,LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO
X82,LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR
X83,LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS
X84,LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS
X85,AGRESION CON DROGAS MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS
X86,AGRESION CON SUSTANCIA CORROSIVA
X87,AGRESION CON PLAGUICIDAS
X88,AGRESION CON GASES Y VAPORES
X89,AGRESION CON OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS ESPECIFICADAS
X90,AGRESION CON PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS NO ESPECIFICADAS
X91,AGRESION POR AHORCAMIENTO ESTRANGULAMIENTO Y SOFOCACION
X92,AGRESION POR  AHOGAMIENTO Y SUMERSION
X93,AGRESION CON DISPARO DE ARMA CORTA
X94,AGRESION CON DISPARO DE RIFLE ESCOPETA Y ARMA LARGA
X95,AGRESION CON DISPARO DE OTRAS ARMAS DE FUEGO Y LAS NO ESPECIFICADAS
X96,AGRESION CON MATERIAL EXPLOSIVO
X97,AGRESION CON HUMO FUEGO Y LLAMAS
X98,AGRESION CON VAPOR DE AGUA VAPORES Y OBJETOS CALIENTES
X99,AGRESION CON OBJETO CORTANTE
Y00,AGRESION CON OBJETO ROMO O SIN FILO
Y01,AGRESION POR EMPUJON DESDE UN LUGAR ELEVADO
Y02,AGRESION POR EMPUJAR O COLOCAR A LA VÍCTIMA DELANTE DE OBJETO EN MOVIMIENTO
Y03,AGRESION POR COLISION DE VEHICULO DE MOTOR
Y04,AGRESION CON FUERZA CORPORAL
Y05,AGRESION SEXUAL CON FUERZA CORPORAL
Y06,NEGLIGENCIA Y ABANDONO
Y07,OTROS SÍNDROMES DE MALTRATO
Y08,AGRESION POR OTROS MEDIOS ESPECIFICADOS
Y09,AGRESION POR MEDIOS NO ESPECIFICADOS
Y10,ENVENENAMIENTO POR Y EXPOSICION A ANALGÉSICOS NO NARCOTICOS ANTIPIRÉTICOS Y ANTIRREUMÁTICOS DE INTENCION NO DETERMINADA
Y11,ENVENENAMIENTO POR Y EXPOSICION A DROGAS ANTIEPILÉPTICAS SEDANTES HIPNOTICAS ANTIPARKINSONIANAS Y PSICOTROPICAS NO CLASIFICADAS EN OTRA PARTE DE INTENCION NO
Y12,ENVENENAMIENTO POR Y EXPOSICION A NARCOTICOS Y PSICODISLÉPTICOS ALUCINOGENOS NO CLASIFICADOS EN OTRA PARTE DE INTENCION NO DETERMINADA
Y13,ENVENENAMIENTO POR Y EXPOSICION A OTRAS DROGAS QUE ACTUAN SOBRE EL SISTEMA NERVIOSO AUTONOMO DE INTENCION NO DETERMINADA
Y14,ENVENENAMIENTO POR Y EXPOSICION A OTRAS DROGAS MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS Y LAS NO ESPECIFICADAS DE INTENCION NO DETERMINADA
Y15,ENVENENAMIENTO POR Y EXPOSICION AL ALCOHOL DE INTENCION NO DETERMINADA
Y16,ENVENENAMIENTO POR Y EXPOSICION A DISOLVENTES ORGÁNICOS E HIDROCARBUROS HALOGENADOS Y SUS VAPORES DE INTENCION NO DETERMINADA
Y17,ENVENENAMIENTO POR Y EXPOSICION A OTROS GASES Y VAPORES DE INTENCION NO DETERMINADA
Y18,ENVENENAMIENTO POR Y EXPOSICION A PLAGUICIDAS DE INTENCION NO DETERMINADA
Y19,ENVENENAMIENTO POR Y EXPOSICION A OTROS PRODUCTOS QUIMICOS Y SUSTANCIAS NOCIVAS Y LOS NO ESPECIFICADOS DE INTENCION NO DETERMINADA
Y20,AHORCAMIENTO ESTRANGULAMIENTO Y SOFOCACION DE INTENCION NO DETERMINADA
Y21,AHOGAMIENTO Y SUMERSION DE INTENCION NO DETERMINADA
Y22,DISPARO DE ARMA CORTA DE INTENCION NO DETERMINADA
Y23,DISPARO DE RIFLE ESCOPETA Y ARMA LARGA DE INTENCION NO DETERMINADA
Y24,DISPARO DE OTRAS ARMAS DE FUEGO Y LAS NO ESPECIFICADAS DE INTENCION NO DETERMINADA
Y25,CONTACTO TRAUMÁTICO CON MATERIAL EXPLOSIVO DE INTENCION NO DETERMINADA
Y26,EXPOSICION AL HUMO FUEGO Y LLAMAS DE INTENCION NO DETERMINADA
Y27,CONTACTO CON VAPOR DE AGUA VAPORES Y OBJETOS CALIENTES DE INTENCION NO DETERMINADA
Y28,CONTACTO TRAUMÁTICO CON OBJETO CORTANTE DE INTENCION NO DETERMINADA
Y29,CONTACTO TRAUMÁTICO CON OBJETO ROMO O SIN FILO DE INTENCION NO DETERMINADA
Y30,CAIDA SALTO O EMPUJON DESDE LUGAR ELEVADO DE INTENCION NO DETERMINADA
Y31,CAÍDA PERMANENCIA O CARRERA DELANTE O HACIA OBJETO EN MOVIMIENTO DE INTENCIËN NO DETERMINADA
Y32,COLISION DE VEHICULO DE MOTOR DE INTENCION NO DETERMINADA
Y33,OTROS EVENTOS ESPECIFICADOS DE INTENCION NO DETERMINADA
Y34,EVENTO NO ESPECIFICADO DE INTENCION NO DETERMINADA
Y35,INTERVENCION LEGAL
Y36,OPERACIONES DE GUERRA
Y40,EFECTOS ADVERSOS DE ANTIBIOTICOS SISTÉMICOS
Y41,EFECTOS ADVERSOS DE OTROS ANTIINFECCIOSOS Y ANTIPARASITARIOS SISTÉMICOS
Y42,EFECTOS ADVERSOS DE HORMONAS Y SUS SUSTITUTOS SINTÉTICOS Y ANTAGONISTAS NO CLASIFICADOS EN OTRA PARTE
Y43,EFECTOS ADVERSOS DE AGENTES SISTÉMICOS PRIMARIOS
Y44,EFECTOS ADVERSOS DE AGENTES QUE AFECTAN PRIMARIAMENTE LOS CONSTITUYENTES DE LA SANGRE
Y45,EFECTOS ADVERSOS DE DROGAS ANALGÉSICAS ANTIPIRÉTICAS Y ANTIINFLAMATORIAS
Y46,EFECTOS ADVERSOS DE DROGAS ANTIEPILÉPTICAS Y ANTIPARKINSONIANAS
Y47,EFECTOS ADVERSOS DE DROGAS SEDANTES HIPNOTICAS Y ANSIOLITICAS
Y48,EFECTOS ADVERSOS DE GASES ANESTÉSICOS Y TERAPÉUTICOS
Y49,EFECTOS ADVERSOS DE DROGAS PSICOTROPICAS NO CLASIFICADAS EN OTRA PARTE
Y50,EFECTOS ADVERSOS DE ESTIMULANTES DEL SISTEMA NERVIOSO CENTRAL NO CLASIFICADOS EN OTRA PARTE
Y51,EFECTOS ADVERSOS DE DROGAS QUE AFECTAN PRIMARIAMENTE EL SISTEMA NERVIOSO AUTONOMO
Y52,EFECTOS ADVERSOS DE AGENTES QUE AFECTAN PRIMARIAMENTE EL SISTEMA CARDIOVASCULAR
Y53,EFECTOS ADVERSOS DE AGENTES QUE AFECTAN PRIMARIAMENTE EL SISTEMA GASTROINTESTINAL
Y54,EFECTOS ADVERSOS DE AGENTES QUE AFECTAN PRIMARIAMENTE EL EQUILIBRIO HIDRICO Y EL METABOLISMO MINERAL Y DEL ÁCIDO URICO
Y55,EFECTOS ADVERSOS DE AGENTES QUE ACTUAN PRIMARIAMENTE SOBRE LOS MUSCULOS LISOS Y ESTRIADOS Y SOBRE EL SISTEMA RESPIRATORIO
Y56,EFECTOS ADVERSOS DE AGENTES TOPICOS QUE AFECTAN PRIMARIAMENTE LA PIEL Y LAS MEMBRANAS MUCOSAS Y DROGAS OFTALMOLOGICAS OTORRINOLARINGOLOGICAS Y DENTALES
Y57,EFECTOS ADVERSOS DE OTRAS DROGAS Y MEDICAMENTOS Y LOS NO ESPECIFICADOS
Y58,EFECTOS ADVERSOS DE VACUNAS BACTERIANAS
Y59,EFECTOS ADVERSOS DE OTRAS VACUNAS Y SUSTANCIAS BIOLOGICAS Y LAS NO ESPECIFICADAS
Y60,CORTE PUNCION PERFORACION O HEMORRAGIA NO INTENCIONAL DURANTE LA ATENCION MÉDICA Y QUIRURGICA
Y61,OBJETO EXTRAÑO DEJADO ACCIDENTALMENTE EN EL CUERPO DURANTE LA ATENCION MÉDICA Y QUIRURGICA
Y62,FALLAS EN LA ESTERILIZACION DURANTE LA ATENCION MÉDICA Y QUIRURGICA
Y63,FALLA EN LA DOSIFICACION DURANTE LA ATENCION MÉDICA Y QUIRURGICA
Y64,MEDICAMENTOS O SUSTANCIAS BIOLOGICAS CONTAMINADOS
Y65,OTROS INCIDENTES DURANTE LA ATENCION MEDICA Y QUIRURGICA
Y66,NO ADMINISTRACION DE LA ATENCION MÉDICA Y QUIRURGICA
Y69,INCIDENTES NO ESPECIFICADOS DURANTE LA ATENCION MÉDICA Y QUIRURGICA
Y70,DISPOSITIVOS DE ANESTESIOLOGIA ASOCIADOS CON INCIDENTES ADVERSOS
Y71,DISPOSITIVOS CARDIOVASCULARES ASOCIADOS CON INCIDENTES ADVERSOS
Y72,DISPOSITIVOS OTORRINOLARINGOLOGICOS ASOCIADOS CON INCIDENTES ADVERSOS
Y73,DISPOSITIVOS DE GASTROENTEROLOGIA Y UROLOGIA ASOCIADOS CON INCIDENTES ADVERSOS
Y74,DISPOSITIVOS PARA USO HOSPITALARIO GENERAL Y PERSONAL ASOCIADOS CON INCIDENTES ADVERSOS
Y75,DISPOSITIVOS NEUROLOGICOS ASOCIADOS CON INCIDENTES ADVERSOS
Y76,DISPOSITIVOS GINECOLOGICOS Y OBSTETRICOS ASOCIADOS CON INCIDENTES ADVERSOS
Y77,DISPOSITIVOS OFTÁLMICOS ASOCIADOS CON INCIDENTES ADVERSOS
Y78,APARATOS RADIOLOGICOS ASOCIADOS CON INCIDENTES ADVERSOS
Y79,DISPOSITIVOS ORTOPEDICOS ASOCIADOS CON INCIDENTES ADVERSOS
Y80,APARATOS DE MEDICINA FISICA ASOCIADOS CON INCIDENTES ADVERSOS
Y81,DISPOSITIVOS DE CIRUGIA GENERAL Y PLÁSTICA ASOCIADOS CON INCIDENTES ADVERSOS
Y82,OTROS DISPOSITIVOS MÉDICOS Y LOS NO ESPECIFICADOS ASOCIADOS CON INCIDENTES ADVERSOS
Y83,CIRUGIA Y OTROS PROCEDIMIENTOS QUIRURGICOS COMO LA CAUSA DE REACCION ANORMAL DEL PACIENTE O DE COMPLICACION POSTERIOR SIN MENCION DE INCIDENTE EN EL MOMENTO DE EFE
Y84,OTROS PROCEDIMIENTOS MÉDICOS COMO LA CAUSA DE REACCION ANORMAL DEL PACIENTE O DE COMPLICACION POSTERIOR SIN MENCION DE INCIDENTE EN EL MOMENTO DE EFECTUAR EL PROCE
Y85,SECUELAS DE ACCIDENTES DE TRANSPORTE
Y86,SECUELAS DE OTROS ACCIDENTES
Y87,SECUELAS DE LESIONES AUTOINFLIGIDAS INTENCIONALMENTE AGRESIONES Y EVENTOS DE INTENCION NO DETERMINADA
Y88,SECUELAS CON ATENCION MEDICA Y QUIRURGICA COMO CAUSA EXTERNA
Y89,SECUELAS DE OTRAS CAUSAS EXTERNAS
Y90,EVIDENCIA DE ALCOHOLISMO DETERMINADA POR EL NIVEL DE ALCOHOL EN LA SANGRE
Y91,EVIDENCIA DE ALCOHOLISMO DETERMINADA POR EL NIVEL DE INTOXICACION
Y95,AFECCION NOSOCOMIAL
Y96,AFECCION RELACIONADA CON EL TRABAJO
Y97,AFECCION RELACIONADA CON LA CONTAMINACION AMBIENTAL
Y98,AFECCION RELACIONADA CON EL ESTILO DE VIDA
Z00,EXAMEN GENERAL E INVESTIGACION DE PERSONAS SIN QUEJAS O SIN DIAGNOSTICO INFORMADO
Z01,OTROS EXÁMENES ESPECIALES E INVESTIGACIONES EN PERSONAS SIN QUEJAS O SIN DIAGNOSTICO INFORMADO
Z02,EXÁMENES Y CONTACTOS PARA FINES ADMINISTRATIVOS
Z03,OBSERVACION Y EVALUACION MÉDICAS POR SOSPECHA DE ENFERMEDADES Y AFECCIONES
Z04,EXAMEN Y OBSERVACION POR OTRAS RAZONES
Z08,EXAMEN DE SEGUIMIENTO CONSECUTIVO AL TRATAMIENTO POR TUMOR MALIGNO
Z09,EXAMEN DE SEGUIMIENTO CONSECUTIVO A TRATAMIENTO POR OTRAS AFECCIONES DIFERENTES A TUMORES MALIGNOS
Z10,CONTROL GENERAL DE SALUD DE RUTINA DE SUBPOBLACIONES DEFINIDAS
Z11,EXAMEN DE PESQUISA ESPECIAL PARA ENFERMEDADES INFECCIOSAS Y PARASITARIAS
Z12,EXAMEN DE PESQUISA ESPECIAL PARA TUMORES
Z13,EXAMEN DE PESQUISA ESPECIAL PARA OTRAS ENFERMEDADES Y TRASTORNOS
Z20,CONTACTO CON Y EXPOSICION A ENFERMEDADES TRANSMISIBLES
Z21,ESTADO DE INFECCION ASINTOMÁTICA POR EL VIRUS DE LA INMUNODEFICIENCIA HUMANA VIH
Z22,PORTADOR DE ENFERMEDAD INFECCIOSA
Z23,NECESIDAD DE INMUNIZACION CONTRA ENFERMEDAD BACTERIANA UNICA
Z24,NECESIDAD DE INMUNIZACION CONTRA CIERTAS ENFERMEDADES VIRALES
Z25,NECESIDAD DE INMUNIZACION CONTRA OTRAS ENFERMEDADES VIRALES UNICAS
Z26,NECESIDAD DE INMUNIZACION CONTRA OTRAS ENFERMEDADES INFECCIOSAS UNICAS
Z27,NECESIDAD DE INMUNIZACION CONTRA COMBINACIONES DE ENFERMEDADES INFECCIOSAS
Z28,INMUNIZACION NO REALIZADA
Z29,NECESIDAD DE OTRAS MEDIDAS PROFILÁCTICAS
Z30,ATENCION PARA LA ANTICONCEPCION
Z31,ATENCION PARA LA PROCREACION
Z32,EXAMEN Y PRUEBA DEL EMBARAZO
Z33,ESTADO DE EMBARAZO INCIDENTAL
Z34,SUPERVISION DE EMBARAZO NORMAL
Z35,SUPERVISION DE EMBARAZO DE ALTO RIESGO
Z36,PESQUISAS PRENATALES
Z37,PRODUCTO DEL PARTO
Z38,NACIDOS VIVOS SEGUN LUGAR DE NACIMIENTO
Z39,EXAMEN Y ATENCION DEL POSTPARTO
Z40,CIRUGIA PROFILÁCTICA
Z41,PROCEDIMIENTOS PARA OTROS PROPOSITOS QUE NO SEAN LOS DE MEJORAR EL ESTADO DE SALUD
Z42,CUIDADOS POSTERIORES A LA CIRUGIA PLÁSTICA
Z43,ATENCION DE ORIFICIOS ARTIFICIALES
Z44,PRUEBA Y AJUSTE DE DISPOSITIVOS PROTESICOS EXTERNOS
Z45,ASISTENCIA Y AJUSTE DE DISPOSITIVOS IMPLANTADOS
Z46,PRUEBA Y AJUSTE DE OTROS DISPOSITIVOS
Z47,OTROS CUIDADOS POSTERIORES A LA ORTOPEDIA
Z48,OTROS CUIDADOS POSTERIORES A LA CIRUGIA
Z49,CUIDADOS RELATIVOS AL PROCEDIMIENTO DE DIÁLISIS
Z50,ATENCION POR EL USO DE PROCEDIMIENTOS DE REHABILITACION
Z51,OTRA ATENCION MÉDICA
Z52,DONANTES DE ORGANOS Y TEJIDOS
Z53,PERSONA EN CONTACTO CON LOS SERVICIOS DE SALUD PARA PROCEDIMIENTOS ESPECIFICOS NO REALIZADOS
Z54,CONVALECENCIA
Z55,PROBLEMAS RELACIONADOS CON LA EDUCACION Y LA ALFABETIZACION
Z56,PROBLEMAS RELACIONADOS CON EL EMPLEO Y EL DESEMPLEO
Z57,EXPOSICION A FACTORES DE RIESGO OCUPACIONAL
Z58,PROBLEMAS RELACIONADOS CON EL AMBIENTE FISICO
Z59,PROBLEMAS RELACIONADOS CON LA VIVIENDA Y LAS CIRCUNSTANCIAS ECONOMICAS
Z60,PROBLEMAS RELACIONADOS CON EL AMBIENTE SOCIAL
Z61,PROBLEMAS RELACIONADOS CON HECHOS NEGATIVOS EN LA NIÑEZ
Z62,OTROS PROBLEMAS RELACIONADOS CON LA CRIANZA DEL NIÑO
Z63,OTROS PROBLEMAS RELACIONADOS CON EL GRUPO PRIMARIO DE APOYO INCLUSIVE CIRCUNSTANCIAS FAMILIARES
Z64,PROBLEMAS RELACIONADOS CON CIERTAS CIRCUNSTANCIAS PSICOSOCIALES
Z65,PROBLEMAS RELACIONADOS CON OTRAS CIRCUNSTANCIAS PSICOSOCIALES
Z70,CONSULTA RELACIONADA CON ACTITUD CONDUCTA U ORIENTACION SEXUAL
Z71,PERSONAS EN CONTACTO CON LOS SERVICIOS DE SALUD POR OTRAS CONSULTAS Y CONSEJOS MÉDICOS NO CLASIFICADOS EN OTRA PARTE
Z72,PROBLEMAS RELACIONADOS CON EL ESTILO DE VIDA
Z73,PROBLEMAS RELACIONADOS CON DIFICULTADES CON EL MODO DE VIDA
Z74,PROBLEMAS RELACIONADOS CON DEPENDENCIA DEL PRESTADOR DE SERVICIOS
Z75,PROBLEMAS RELACIONADOS CON FACILIDADES DE ATENCION MEDICA U OTROS SERVICIOS DE SALUD
Z76,PERSONAS EN CONTACTO CON LOS SERVICIOS DE SALUD POR OTRAS CIRCUNSTANCIAS
Z80,HISTORIA FAMILIAR DE TUMOR MALIGNO
Z81,HISTORIA FAMILIAR DE TRASTORNOS MENTALES Y DEL COMPORTAMIENTO
Z82,HISTORIA FAMILIAR DE CIERTAS DISCAPACIDADES Y ENFERMEDADES CRONICAS INCAPACITANTES
Z83,HISTORIA FAMILIAR DE OTROS TRASTORNOS ESPECIFICOS
Z84,HISTORIA FAMILIAR DE OTRAS AFECCIONES
Z85,HISTORIA PERSONAL DE TUMOR MALIGNO
Z86,HISTORIA PERSONAL DE ALGUNAS OTRAS ENFERMEDADES
Z87,HISTORIA PERSONAL DE OTRAS ENFERMEDADES Y AFECCIONES
Z88,HISTORIA PERSONAL DE ALERGIA A DROGAS MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS
Z89,AUSENCIA ADQUIRIDA DE MIEMBROS
Z90,AUSENCIA ADQUIRIDA DE ORGANOS NO CLASIFICADA EN OTRA PARTE
Z91,HISTORIA PERSONAL DE FACTORES DE RIESGO NO CLASIFICADOS EN OTRA PARTE
Z92,HISTORIA PERSONAL DE TRATAMIENTO MÉDICO
Z93,ABERTURAS ARTIFICIALES
Z94,ORGANOS Y TEJIDOS TRASPLANTADOS
Z95,PRESENCIA DE IMPLANTES E INJERTOS CARDIOVASCULARES
Z96,PRESENCIA DE OTROS IMPLANTES FUNCIONALES
Z97,PRESENCIA DE OTROS DISPOSITIVOS
Z98,OTROS ESTADOS POSTQUIRURGICOS
Z99,DEPENDENCIA DE MÁQUINAS Y DISPOSITIVOS CAPACITANTES NO CLASIFICADA EN OTRA PARTE
